Rank,Business Name,Trade,Phone,Address,City,Rating,Reviews,Google URL
31,"Structured Foundation Repairs","plumber","(972) 534-4158","13301 Trinity Blvd, Euless, TX 76040, USA","Dallas",4.8,1885,"https://www.google.com/search?q=Structured%20Foundation%20Repairs%20Dallas%20TX"
32,"Legacy Plumbing","plumber","(972) 886-5855","8765 Stockard Dr STE 104, Frisco, TX 75034, USA","Dallas",5,1870,"https://www.google.com/search?q=Legacy%20Plumbing%20Dallas%20TX"
33,"Baker Brothers Plumbing, Air & Electric","plumber","(817) 595-0116","7315 Commercial Blvd E, Arlington, TX 76001, USA","Dallas",4.8,1820,"https://www.google.com/search?q=Baker%20Brothers%20Plumbing%2C%20Air%20%26%20Electric%20Dallas%20TX"
34,"Tempo Air","plumber","(972) 579-2000","911 Maryland Dr, Irving, TX 75061, USA","Dallas",4.7,1798,"https://www.google.com/search?q=Tempo%20Air%20Dallas%20TX"
35,"Ernie's Plumbing Service, Inc.","plumber","(888) 802-0005","1809 W Pioneer Pkwy, Arlington, TX 76013, USA","Dallas",4.6,1792,"https://www.google.com/search?q=Ernie's%20Plumbing%20Service%2C%20Inc.%20Dallas%20TX"
36,"Bacon Plumbing Heating Air Electric","plumber","(972) 703-4411","1111 Jupiter Rd suite 108-d, Plano, TX 75074, USA","Dallas",4.9,1751,"https://www.google.com/search?q=Bacon%20Plumbing%20Heating%20Air%20Electric%20Dallas%20TX"
37,"Elmer's Home Services","plumber","(972) 301-2020","340 W Northwest Hwy, Grapevine, TX 76051, USA","Dallas",4.7,1714,"https://www.google.com/search?q=Elmer's%20Home%20Services%20Dallas%20TX"
38,"Public Service Plumbers","plumber","(214) 831-1959","5610 Dyer St, Dallas, TX 75206, USA","Dallas",4.9,1689,"https://www.google.com/search?q=Public%20Service%20Plumbers%20Dallas%20TX"
39,"O'Bryan Plumbing Services","plumber","(972) 708-4593","104 N Cedar Dr, Allen, TX 75002, USA","Dallas",4.9,1676,"https://www.google.com/search?q=O'Bryan%20Plumbing%20Services%20Dallas%20TX"
40,"Medley Heating Air Conditioning Plumbing","plumber","(972) 737-5655","1711 Briercroft Ct ste 127, Carrollton, TX 75006, USA","Dallas",5,1655,"https://www.google.com/search?q=Medley%20Heating%20Air%20Conditioning%20Plumbing%20Dallas%20TX"
41,"United States Home Services","plumber","(214) 301-5784","1805 Royal Ln #101, Dallas, TX 75229, USA","Dallas",5,1652,"https://www.google.com/search?q=United%20States%20Home%20Services%20Dallas%20TX"
42,"Jim's Plumbing Now","plumber","(972) 236-5892","2418 Marsh Ln #106, Carrollton, TX 75006, USA","Dallas",4.9,1598,"https://www.google.com/search?q=Jim's%20Plumbing%20Now%20Dallas%20TX"
43,"Augerpros Plumbing and Drain","plumber","(214) 206-6580","206 W McDermott Dr #120, Allen, TX 75013, USA","Dallas",5,1560,"https://www.google.com/search?q=Augerpros%20Plumbing%20and%20Drain%20Dallas%20TX"
44,"Total Plumbing Service Inc.","plumber","(972) 681-4434","3706 Big A Rd, Rowlett, TX 75089, USA","Dallas",4.9,1538,"https://www.google.com/search?q=Total%20Plumbing%20Service%20Inc.%20Dallas%20TX"
45,"Mr. Rooter Plumbing of Farmers Branch","plumber","(972) 254-5600","4250 Spring Valley Rd, Farmers Branch, TX 75244, USA","Dallas",4.7,1508,"https://www.google.com/search?q=Mr.%20Rooter%20Plumbing%20of%20Farmers%20Branch%20Dallas%20TX"
46,"Roto-Rooter Plumbing & Water Cleanup","plumber","(469) 779-4964","3817 Conflans Rd, Irving, TX 75061, USA","Dallas",4.8,1457,"https://www.google.com/search?q=Roto-Rooter%20Plumbing%20%26%20Water%20Cleanup%20Dallas%20TX"
47,"Metro Flow Plumbing - Dallas Emergency Plumbers","plumber","(214) 328-7371","3730 Dilido Rd #422, Dallas, TX 75228, USA","Dallas",4.9,1335,"https://www.google.com/search?q=Metro%20Flow%20Plumbing%20-%20Dallas%20Emergency%20Plumbers%20Dallas%20TX"
48,"Milestone Electric, A/C, & Plumbing","plumber","(972) 616-4171","2360 Crist Rd Suite B900, Garland, TX 75040, USA","Dallas",4.9,1332,"https://www.google.com/search?q=Milestone%20Electric%2C%20A%2FC%2C%20%26%20Plumbing%20Dallas%20TX"
49,"Infinity Texas Air","plumber","(972) 734-1903","12025 Lewis Cir, Forney, TX 75126, USA","Dallas",4.9,1302,"https://www.google.com/search?q=Infinity%20Texas%20Air%20Dallas%20TX"
50,"billyGO Air Conditioning & Plumbing","plumber","(214) 267-9944","17430 Campbell Rd Suite 207, Dallas, TX 75252, USA","Dallas",4.7,1283,"https://www.google.com/search?q=billyGO%20Air%20Conditioning%20%26%20Plumbing%20Dallas%20TX"
